Level,Name,Factor_Group,Asset,Score,Shock_Class,Observed_Change,Shock_Percentile,Coverage,Confidence,Confidence_Label,Raw_Score
INDICATOR,US10Y,RATE,국내주식,-0.0,NORMAL,8.0,36.9,,,,
INDICATOR,US10Y,RATE,해외주식,-0.0,NORMAL,8.0,36.9,,,,
INDICATOR,US10Y,RATE,채권,-0.0,NORMAL,8.0,36.9,,,,
INDICATOR,US10Y,RATE,금,-0.0,NORMAL,8.0,36.9,,,,
INDICATOR,US2Y,RATE,국내주식,-0.0,NORMAL,0.0,4.81,,,,
INDICATOR,US2Y,RATE,해외주식,-0.0,NORMAL,0.0,4.81,,,,
INDICATOR,US2Y,RATE,채권,-0.0,NORMAL,0.0,4.81,,,,
INDICATOR,US2Y,RATE,금,-0.0,NORMAL,0.0,4.81,,,,
INDICATOR,US_REAL10Y,RATE,국내주식,-0.0,NORMAL,5.0,26.74,,,,
INDICATOR,US_REAL10Y,RATE,해외주식,-0.0,NORMAL,5.0,26.74,,,,
INDICATOR,US_REAL10Y,RATE,채권,-0.0,NORMAL,5.0,26.74,,,,
INDICATOR,US_REAL10Y,RATE,금,-0.0,NORMAL,5.0,26.74,,,,
INDICATOR,US_10Y2Y_SPREAD,RATE,국내주식,0.5,MILD,8.0,55.61,,,,
INDICATOR,US_10Y2Y_SPREAD,RATE,해외주식,0.5,MILD,8.0,55.61,,,,
INDICATOR,US_10Y2Y_SPREAD,RATE,채권,-0.5,MILD,8.0,55.61,,,,
INDICATOR,US_10Y2Y_SPREAD,RATE,금,-0.5,MILD,8.0,55.61,,,,
INDICATOR,KR10Y,RATE,국내주식,-0.5,MILD,10.6,55.14,,,,
INDICATOR,KR10Y,RATE,해외주식,0.0,MILD,10.6,55.14,,,,
INDICATOR,KR10Y,RATE,채권,-1.5,MILD,10.6,55.14,,,,
INDICATOR,KR10Y,RATE,금,0.0,MILD,10.6,55.14,,,,
INDICATOR,FED_HIKE_EXPECTATION,RATE,국내주식,-0.0,NORMAL,0.0,4.28,,,,
INDICATOR,FED_HIKE_EXPECTATION,RATE,해외주식,-0.0,NORMAL,0.0,4.28,,,,
INDICATOR,FED_HIKE_EXPECTATION,RATE,채권,-0.0,NORMAL,0.0,4.28,,,,
INDICATOR,FED_HIKE_EXPECTATION,RATE,금,-0.0,NORMAL,0.0,4.28,,,,
INDICATOR,US_CPI,INFLATION,국내주식,-0.0,NORMAL,0.07366914,15.76,,,,
INDICATOR,US_CPI,INFLATION,해외주식,-0.0,NORMAL,0.07366914,15.76,,,,
INDICATOR,US_CPI,INFLATION,채권,-0.0,NORMAL,0.07366914,15.76,,,,
INDICATOR,US_CPI,INFLATION,금,0.0,NORMAL,0.07366914,15.76,,,,
INDICATOR,US_CORE_CPI,INFLATION,국내주식,-1.0,MILD,0.21543451,57.07,,,,
INDICATOR,US_CORE_CPI,INFLATION,해외주식,-1.5,MILD,0.21543451,57.07,,,,
INDICATOR,US_CORE_CPI,INFLATION,채권,-1.5,MILD,0.21543451,57.07,,,,
INDICATOR,US_CORE_CPI,INFLATION,금,0.0,MILD,0.21543451,57.07,,,,
INDICATOR,US_CORE_PCE,INFLATION,국내주식,-1.0,MILD,0.24551551,73.12,,,,
INDICATOR,US_CORE_PCE,INFLATION,해외주식,-1.5,MILD,0.24551551,73.12,,,,
INDICATOR,US_CORE_PCE,INFLATION,채권,-1.5,MILD,0.24551551,73.12,,,,
INDICATOR,US_CORE_PCE,INFLATION,금,0.0,MILD,0.24551551,73.12,,,,
INDICATOR,US_BREAKEVEN_10Y,INFLATION,국내주식,-0.0,NORMAL,5.78571429,48.4,,,,
INDICATOR,US_BREAKEVEN_10Y,INFLATION,해외주식,-0.0,NORMAL,5.78571429,48.4,,,,
INDICATOR,US_BREAKEVEN_10Y,INFLATION,채권,-0.0,NORMAL,5.78571429,48.4,,,,
INDICATOR,US_BREAKEVEN_10Y,INFLATION,금,0.0,NORMAL,5.78571429,48.4,,,,
INDICATOR,USDKRW,FX,국내주식,1.5,EXTREME,-5.5715925,99.47,,,,
INDICATOR,USDKRW,FX,해외주식,-4.5,EXTREME,-5.5715925,99.47,,,,
INDICATOR,USDKRW,FX,채권,1.5,EXTREME,-5.5715925,99.47,,,,
INDICATOR,USDKRW,FX,금,-4.5,EXTREME,-5.5715925,99.47,,,,
INDICATOR,DXY,FX,국내주식,0.5,MILD,-1.44763137,74.33,,,,
INDICATOR,DXY,FX,해외주식,0.5,MILD,-1.44763137,74.33,,,,
INDICATOR,DXY,FX,채권,-0.0,MILD,-1.44763137,74.33,,,,
INDICATOR,DXY,FX,금,1.5,MILD,-1.44763137,74.33,,,,
INDICATOR,VIX,RISK,국내주식,-0.0,NORMAL,7.29160153,39.89,,,,
INDICATOR,VIX,RISK,해외주식,-0.0,NORMAL,7.29160153,39.89,,,,
INDICATOR,VIX,RISK,채권,0.0,NORMAL,7.29160153,39.89,,,,
INDICATOR,VIX,RISK,금,0.0,NORMAL,7.29160153,39.89,,,,
INDICATOR,US_HY_SPREAD,RISK,국내주식,0.0,NORMAL,-5.19047619,37.23,,,,
INDICATOR,US_HY_SPREAD,RISK,해외주식,0.0,NORMAL,-5.19047619,37.23,,,,
INDICATOR,US_HY_SPREAD,RISK,채권,-0.0,NORMAL,-5.19047619,37.23,,,,
INDICATOR,US_HY_SPREAD,RISK,금,-0.0,NORMAL,-5.19047619,37.23,,,,
INDICATOR,FCI_TIGHTENING,RISK,국내주식,0.0,NORMAL,-0.022,42.25,,,,
INDICATOR,FCI_TIGHTENING,RISK,해외주식,0.0,NORMAL,-0.022,42.25,,,,
INDICATOR,FCI_TIGHTENING,RISK,채권,-0.0,NORMAL,-0.022,42.25,,,,
INDICATOR,FCI_TIGHTENING,RISK,금,-0.0,NORMAL,-0.022,42.25,,,,
INDICATOR,US_ISM_MFG,GROWTH,국내주식,0.0,NORMAL,0.16298143,26.88,,,,
